Id,Comments,Type Name,Coordinates - Internal: Point_X,Coordinates - Internal: Point_Y,Coordinates - Internal: Point_Z,Mark
3559607,2-6,Place Marker,139.601,-120.463,-11.500,
3559752,2-5,Place Marker,124.601,-120.463,-11.500,
3559795,3-3,Place Marker,53.016,-88.337,-11.500,
3559846,3-2,Place Marker,38.044,-87.716,-11.500,
3559863,4-5,Place Marker,22.973,-87.943,-11.500,
3565811,2-4,Place Marker,137.219,-105.523,-11.500,
3565898,2-3,Place Marker,143.493,-91.898,-11.500,
3565941,2-2,Place Marker,136.576,-78.604,-11.500,
3565954,2-1,Place Marker,122.196,-82.990,-11.500,
3565983,3-6,Place Marker,111.352,-93.471,-11.500,
3566006,3-4,Place Marker,97.302,-87.935,-11.500,
3566047,3-1,Place Marker,82.223,-86.423,-11.500,
3566114,3-5,Place Marker,67.786,-90.942,-11.500,
3566147,4-6,Place Marker,1.471,-92.062,-11.500,
3566178,4-4,Place Marker,-2.139,-65.205,-11.500,
3566247,4-3,Place Marker,20.486,-60.580,-11.500,
3566274,4-2,Place Marker,35.486,-60.580,-11.500,
3566295,4-1,Place Marker,50.486,-60.580,-11.500,
3566318,5-6,Place Marker,6.208,-52.716,-11.500,
3566349,5-5,Place Marker,20.894,-45.517,-11.500,
3566378,5-4,Place Marker,8.139,-37.593,-11.500,
3566413,5-3,Place Marker,-2.860,-27.414,-11.500,
3566440,5-1,Place Marker,15.026,-24.263,-11.500,
3566475,5-2,Place Marker,1.195,-12.920,-11.500,
3566524,6-4,Place Marker,14.169,-5.380,-11.500,
3566561,6-3,Place Marker,29.169,-5.380,-11.500,
3566584,6-2,Place Marker,44.146,-5.380,-11.500,
3566599,6-1,Place Marker,59.146,-5.380,-11.500,
3566620,7-1,Place Marker,74.188,-5.380,-11.500,
3566657,7-2,Place Marker,89.188,-5.380,-11.500,
3566678,6-6,Place Marker,5.496,6.840,-11.500,
3566717,6-5,Place Marker,7.746,21.757,-11.500,
3566742,7-4,Place Marker,41.420,40.232,-11.500,
3566765,7-5,Place Marker,56.420,40.232,-11.500,
3566816,7-6,Place Marker,71.420,40.232,-11.500,
3566851,7-3,Place Marker,72.273,25.260,-11.500,
3566880,1-1,Place Marker,127.057,-28.909,-11.500,
3566925,1-4,Place Marker,135.491,-16.654,-11.500,
3566958,1-6,Place Marker,145.017,-28.193,-11.500,
3566987,1-2,Place Marker,125.748,-52.135,-11.500,
3567020,1-5,Place Marker,140.335,-55.661,-11.500,
3567057,1-3,Place Marker,125.748,-67.242,-11.500,
3568212,Outline,Place Marker,-13.721,19.032,-11.500,01
3568374,Outline,Place Marker,-11.228,24.742,-11.500,02
3568425,Outline,Place Marker,-5.510,27.217,-11.500,03
3568466,Outline,Place Marker,95.463,34.278,-11.500,04
3568547,Outline,Place Marker,100.129,33.038,-11.500,05
3568602,Outline,Place Marker,147.489,4.584,-11.500,06
3568655,Outline,Place Marker,150.510,1.484,-11.500,07
3568680,Outline,Place Marker,151.612,-2.702,-11.500,08
3568711,Outline,Place Marker,151.612,-74.198,-11.500,09
3568788,Outline,Place Marker,146.612,-74.198,-11.500,10
3568833,Outline,Place Marker,146.612,-110.100,-11.500,11
3568902,Outline,Place Marker,77.435,-114.938,-11.500,12
3568951,Outline,Place Marker,71.713,-114.776,-11.500,13
3569004,Outline,Place Marker,66.010,-114.290,-11.500,14
3569037,Outline,Place Marker,14.012,-108.370,-11.500,15
3569114,Outline,Place Marker,13.647,-111.578,-11.500,16
3569155,Outline,Place Marker,-6.183,-109.321,-11.500,17
3569266,Outline,Place Marker,-11.563,-106.535,-11.500,18
3569291,Outline,Place Marker,-13.721,-100.875,-11.500,19
3569334,Outline,Place Marker,-13.721,-19.693,-11.500,20
3569413,Outline,Place Marker,-10.190,-19.693,-11.500,21
3569456,Outline,Place Marker,-10.190,-7.713,-11.500,22
3569511,Outline,Place Marker,-13.721,-7.713,-11.500,23
